,Result,Season,Team1,Team2,deltaSeed,deltaeFG,deltaPoss,deltaTO%,deltaFT%,deltaOR%,deltaAvgORtg,deltaAvgDRtg,deltaOrdinalRank
15,0,2003,1173,1409,-9,0.07333316143523455,-2.2875000000000085,-0.01521047977340187,0.03747940087782625,0.09391771201234114,0.18531361444598382,0.1607291424331011,-10.399999999999999
16,0,2003,1451,1458,7,-0.0124745809983548,4.637500000000003,0.00995807472058377,0.06668163171161673,0.04758792405851231,0.001372598546958148,0.05786060275853666,73.66666666666667
17,0,2003,1386,1120,-3,-0.06905136059728922,0.7874999999999943,-0.061907376899139666,-0.063690197564437,-0.09653165170991995,-0.09732028000277748,-0.12922191293150787,-34.33333333333333
18,0,2003,1280,1139,-7,0.01288704537527352,2.0500000000000043,0.016618559343412498,-0.08584066787764025,0.10751211154436963,0.07837158397541732,0.13033321348803462,-8.666666666666664
19,1,2003,1196,1358,-13,0.003455406331991595,-0.8500000000000085,-0.04186928036456308,-0.1495114844944724,0.044940463016245435,-0.09707547448423637,0.18061708054289038,-151.66666666666666
20,1,2003,1231,1104,-3,0.01207035924152311,-4.700000000000017,-0.06572833561064598,0.15989221057598385,0.00628233275292106,0.09351775323704692,0.09503854424332892,3.7333333333333307
21,0,2003,1237,1246,15,0.16124182776529872,3.4124999999999943,0.05921136881698014,-0.09586180436762332,-0.045956486042693034,0.004303279438291563,0.17261003113691853,166.53333333333333
22,1,2003,1257,1122,-9,-0.018248657382008093,-10.299999999999997,0.012335042222769238,-0.08443834023726715,0.033928571428571475,0.04513672106492628,-0.06734514849420725,-127.93333333333335
23,0,2003,1423,1268,5,0.044653514588859466,-4.474999999999994,0.059805621847037166,0.05159703801945176,0.030570409982174696,0.007856666405500645,0.05883470516113587,40.8
24,0,2003,1160,1277,3,0.04863688730624216,2.6750000000000114,0.012883686071695655,-0.169629241726016,0.03001722890532066,0.06120736803050786,0.012944358009871593,12.799999999999997
25,0,2003,1335,1329,5,0.07212430426716149,-5.3999999999999915,0.030226013695272558,-0.029192949907235644,0.002545069205053152,0.06936611119653213,0.013704575163826505,22.866666666666667
26,1,2003,1338,1447,-13,-0.06946466670510898,7.174999999999997,-0.057619953118252576,0.1661957482797063,0.08058748403575983,0.015572954580805431,-0.07252096737078284,-164.73333333333332
27,0,2003,1261,1345,-1,-0.0435535391995584,-10.4375,-0.015716548897326932,-0.2825231594963922,0.21392081736909319,0.09301330789483164,0.07721158544218998,7.93333333333333
28,1,2003,1393,1264,-11,0.09432218309859153,-0.5,-0.025576561390668134,-0.3425102699530517,0.04111111111111121,0.20395405508765108,0.08044002246645254,-56.66666666666667
29,1,2003,1400,1421,-15,-0.06700002041983172,-14.537499999999994,0.03832743288030099,-0.10684676958261857,0.0972503373819163,0.00991041125853509,-0.219919944018517,-251.66666666666666
30,0,2003,1332,1428,-1,0.0011038085608358061,28.17499999999999,0.07648782960806366,0.11678916802779288,0.14649710504549213,-0.005539909170585222,-0.004122714952494944,9.800000000000004
31,1,2003,1448,1190,-13,0.035503795721187004,0.16250000000000853,-0.042825694720196206,-0.00224982746721869,0.03841991341991341,0.35362782611911403,-0.019496347031627614,-134.26666666666665
32,1,2003,1462,1407,-11,-0.025168690958164597,-14.049999999999997,-0.04393367738051429,0.06782245532245529,0.06244632560422042,0.1522854838387957,0.009068210055484194,-88.80000000000001
33,0,2003,1211,1112,8,-0.1460327568886336,-5.337500000000006,0.048104500536910955,0.052007390929965536,0.15869954539192738,-0.15746870623859044,-0.07206720253721544,35.333333333333336
34,0,2003,1390,1163,-1,0.07854374307862688,-4.362499999999997,0.029020515344245296,0.1911909795630726,-0.16243937992319119,-0.0365325843521771,-0.07354125986744997,12.400000000000002
35,0,2003,1141,1181,8,-0.062077612916942804,-16.33749999999999,0.05262962006982727,0.15678572460671814,0.20560767146133002,-0.03547748285837893,0.04422128245463397,90.39999999999999
36,0,2003,1113,1242,8,-0.08357493654691406,-6.349999999999994,0.010189993254615948,0.360000492580998,0.00373036924761061,-0.10102811837610037,-0.06570104948609667,29.266666666666666
37,0,2003,1281,1266,3,0.03109693031243288,4.325000000000003,-0.06008731924725361,0.08586538649181347,-0.07172339155097779,-0.03523250790402144,0.23891659974175739,8.333333333333332
38,0,2003,1228,1323,-1,-0.02178983228511533,-12.25,0.08150172863543892,0.2617956486168635,0.09745298481711534,0.011365563926992284,-0.09234884594371118,0.8666666666666654
39,1,2003,1328,1143,-7,-0.20191987906273628,-8.474999999999994,-0.005436054493221543,-0.011893302123716892,-0.04759023996773548,-0.2464758576591214,-0.251448306616603,-26.799999999999997
40,0,2003,1409,1458,8,-0.01052590556090921,10.899999999999999,0.02092982349692915,0.043956408366872646,-0.052412075941487696,-0.09048996578516488,-0.035236066196095206,42.599999999999994
41,0,2003,1448,1120,-8,-0.04195544884620511,3.4625000000000057,-0.09160158925880263,0.15309056956115785,0.023512777545035612,0.2818931535934809,-0.03476732422350881,-34.93333333333333
42,1,2003,1139,1257,8,-0.016465483726980035,-9.062500000000007,0.028769562200014004,-0.1011207049642191,0.034062980030721945,-0.05984780479688201,-0.10995654454364423,20.93333333333333
43,0,2003,1428,1246,8,0.055802725765053296,-15.749999999999993,-0.00846084037742878,-0.10948974701869446,-0.07190476190476192,-0.06663572284374064,0.09334582314531925,23.599999999999998
44,1,2003,1268,1462,3,0.014890176369305175,7.449999999999989,-0.019656979928483725,0.032537577365163606,-0.17855477855477864,-0.13943738236042624,0.014112356205647325,2.9333333333333336
45,0,2003,1196,1277,-5,0.0720142767068997,-0.6749999999999972,-0.04243801660825519,-0.29516573590344086,0.01861497865990802,0.10371159998198409,0.09284602250177243,-25.6
46,0,2003,1231,1338,5,-0.08607287683274739,-13.462500000000006,-0.06462799384843226,-0.21656667536566077,0.05473078120136954,-0.04281414317265675,0.08115957098271687,21.799999999999997
47,1,2003,1393,1329,-3,0.17301536491677333,7.112500000000011,-0.07809219502150669,-0.31778489116517283,0.08207609373607766,0.4316189580607518,0.22346843898280788,-9.600000000000001
48,0,2003,1345,1400,8,0.11072181281183685,3.612499999999997,-0.03551364995673442,0.14180693353214424,-0.0965329968562727,0.11294485468292081,0.23452489303162516,20.266666666666666
49,0,2003,1323,1112,4,-0.00646367521367508,4.7124999999999915,-0.03439908869678182,-0.014855638941004778,0.09070352778792673,0.0945751598251019,0.21151875479485582,5.733333333333334
50,0,2003,1181,1242,1,-0.17504223502223298,14.150000000000006,-0.044120213215774445,0.1676787385979185,-0.1147067491895079,-0.1523402736737557,-0.25471045265609016,-9.0
51,1,2003,1246,1458,-4,-0.012912665875498885,11.250000000000007,0.005579765027862199,0.1449859747545582,0.05171957671957672,0.09752815778427348,-0.032327231360335995,-7.866666666666667
52,1,2003,1266,1338,1,-0.011662943831727834,-12.362499999999997,-0.04528616771018146,-0.29583158825445577,0.08534773017531644,0.1700273405156969,0.012817548657943711,7.333333333333334
53,0,2003,1268,1277,-1,0.09275719969685486,8.8125,-0.038457282149397504,-0.11689465706707086,-0.06773504273504277,0.14107883197540627,0.045247817493664244,-16.333333333333332
54,0,2003,1139,1328,11,0.07514650046564941,1.1374999999999957,-0.02935367199672076,0.093104090550899,0.020090548953027754,0.17307647324569142,0.05891355703722134,14.533333333333333
55,1,2003,1393,1120,-7,0.12440046441111657,6.775000000000006,-0.11386364486330833,-0.2737996607093542,0.08681003584229391,0.42899177360719387,0.23547585794222814,-28.266666666666666
56,0,2003,1163,1400,4,0.05782794249775375,9.974999999999994,-0.012067231543227697,-0.03671383647798751,0.07547937434905516,0.11614121408373923,0.14415744069001468,21.933333333333334
57,0,2003,1112,1242,-1,-0.0559654631083204,5.6625000000000085,-0.10771654446636475,0.00565655542614063,-0.13796323126951937,0.0019043493424448776,-0.04537238329667881,-11.533333333333333
58,1,2003,1266,1246,2,0.03279885132528415,-2.1625000000000085,-0.001215719290019901,-0.07283809120645368,0.06696148678907299,0.09487963530457888,0.0004137490440850877,5.866666666666667
59,0,2003,1328,1393,-2,-0.23138236828377673,-14.575000000000003,0.07623103738145456,0.10953573291601462,-0.10690058479532166,-0.5235088031996006,-0.34933403773005633,-3.2666666666666675
60,0,2003,1277,1400,6,-0.06782681940700808,4.9624999999999915,-0.017445266027124096,0.23066711590296496,-0.04821047008547008,-0.13830096495567556,0.013477230253790107,28.133333333333333
61,1,2003,1242,1266,-1,0.07750904354482269,0.4375,0.0647750079799762,-0.10949340218494752,-0.005398815743643315,-0.10057894748663121,0.10141534779025296,-1.1333333333333346
62,0,2003,1400,1393,-2,-0.15140607797729771,-11.387500000000003,0.0634959247281463,0.14328660643103913,-0.07516559829059827,-0.3529307803368986,-0.2700341678493755,-11.266666666666666
63,0,2003,1242,1393,-1,-0.029462489221040444,-6.1000000000000085,0.0816670918746761,0.12142903503973151,-0.05931034482758618,-0.2689233223176204,-0.10599535433631191,-4.333333333333334
64,1,2004,1197,1250,0,0.09779433330246046,14.424999999999997,0.0353531105953071,0.0076741353050744365,0.019604755131070906,0.05132268284305297,0.08726956837957534,45.888888888888914
65,1,2004,1104,1356,-1,0.07623696069556973,5.449999999999989,-0.0021195040199460946,0.020947514031935344,-0.06992623604465711,0.020565386373652905,0.05360485956411154,12.611111111111107
66,1,2004,1163,1436,-13,-0.015163260353753316,6.800000000000026,0.001747002302866646,0.08248365633503685,0.10101365436731286,0.20988854417387492,-0.04936148617504166,-159.3888888888889
67,1,2004,1177,1173,-3,0.0928811254196949,7.825000000000003,-0.0285079069630024,0.12511002563234513,-0.07872060372060363,0.14289998301166262,0.08394602140530472,44.94444444444445
68,1,2004,1181,1106,-15,0.11133369844649799,-2.299999999999983,-0.005638783402180492,-0.12042675325843064,-0.05932786674781748,0.16634995403698938,0.0018843319304189254,-292.61111111111114
69,1,2004,1211,1434,-13,-0.01334720597099609,16.37499999999997,-0.055974288754722656,-0.018741357302414552,-0.05901162790697673,0.030371676065019337,-0.02814120526020525,-145.8888888888889
70,0,2004,1196,1264,-7,0.10840617017879944,-10.737499999999997,-0.0061799687436195905,0.07823076309067689,-0.0049261083743842304,0.16306397633358927,0.20140648797925476,-61.0
71,1,2004,1268,1431,-9,-0.07813877934741009,10.787500000000009,0.014249866335626471,-0.08655718065192425,-0.07114630467571642,-0.2666490204385852,-0.11923903269512104,-50.05555555555556
72,1,2004,1305,1277,3,0.013416199813258589,6.837499999999977,0.0012460522770440519,-0.09225801431683772,0.04289691789691791,0.04395431645191761,0.07137174636260823,0.5
73,1,2004,1314,1102,-5,-0.016343266343266327,44.324999999999996,-0.09016988584309982,-0.2938091938091938,0.12753197707532143,0.05361281436230425,0.1185919001694169,-64.55555555555556
74,0,2004,1112,1371,1,0.06060364702202348,16.337499999999984,-0.013194776708606637,-0.07737274619522613,-0.1371990719816807,-0.04366755299107772,-0.004126237397138022,-14.555555555555554
75,1,2004,1386,1251,-15,-0.03920196376309554,-3.125,-0.004772021214882238,0.1715935432071587,-0.19628238025415448,-0.0661625739287317,-0.19773519613511092,-215.55555555555557
76,1,2004,1390,1427,-15,-0.04716338981244672,8.012500000000031,0.05159104358233091,0.15810421994884905,-0.0046841163732228575,-0.10514760079792707,-0.21239704331093978,-260.27777777777777
77,0,2004,1140,1393,7,0.09686708860759496,-10.674999999999997,0.009163825330434333,0.19670886075949365,-0.09291005291005283,-0.05001359595868449,0.18681802521597923,-13.277777777777779
78,0,2004,1343,1400,11,-0.024278499278499288,-13.437499999999993,0.08260457157280388,-0.1341269841269841,-0.10110140657336292,-0.28885609848259786,-0.08275244840895724,81.16666666666666
79,1,2004,1403,1150,-1,-0.06086991066678643,-16.96249999999999,-0.08266699239061212,-0.2363780667270051,0.15993571270907933,0.08127556362239474,0.11857465214626528,-24.666666666666664
80,1,2004,1448,1433,-9,0.07010610079575597,4.562500000000028,-0.062398444270715,0.08684350132625995,0.08452380952380945,0.2636184130450854,0.27727351198214645,-99.33333333333333
81,0,2004,1428,1130,5,0.03264722698684963,-6.862499999999997,-0.11390754655028959,0.09159519725557472,-0.13611111111111113,0.1548273226110497,0.11363898043045939,-2.555555555555557
82,1,2004,1153,1190,-9,-0.021152816838958144,2.2750000000000057,0.09959161859616711,0.2292363433667782,0.007947573063852131,-0.028976156437787948,-0.2056245236065063,-77.16666666666667
83,0,2004,1320,1210,11,-0.0012022703818369562,-5.8999999999999915,0.01231318255805286,-0.07463364293085656,0.055230880230880186,-0.0333712015219183,0.03214360776174452,105.55555555555556
84,1,2004,1228,1293,-7,-0.026845878136200707,15.237500000000004,0.08122670981929153,-0.028172043010752712,-0.04023132502329063,-0.0781988259927523,-0.17830805863982035,-35.333333333333336
85,1,2004,1242,1227,-9,0.08268106829812821,8.3125,-0.05559244454054718,-0.16893913382116643,-0.06130100688924217,0.1361351074695778,0.12141336752702514,-69.0
86,1,2004,1246,1197,-15,-0.12596949486176834,-12.774999999999999,-0.032537980457921695,0.34481396489644034,0.055638189677091276,0.002944286173804933,-0.1121060718981911,-280.8888888888889
87,1,2004,1272,1376,-3,0.11845399070799523,-2.6875,-0.12236476632041685,-0.12014423410304403,0.028663003663003728,0.28097227651996537,0.3210314646393537,-1.0
88,1,2004,1280,1284,-13,0.017098023245290805,2.674999999999997,0.04468721133005593,0.3106321995113059,-0.05481155747528213,-0.06866949347296136,-0.12630984620791885,-136.44444444444443
89,1,2004,1301,1418,-11,0.03600606909430443,-7.337499999999999,-0.036093529173710476,0.0957633053221289,-0.13035885128908387,0.01385361817676567,0.07201635512469384,-61.94444444444444
90,1,2004,1329,1186,-13,-0.06871068237368272,-0.04999999999999716,0.07000796708806284,0.08805044676844165,-0.039724980901451545,-0.2382366794998101,-0.23535580668884382,-156.88888888888889
91,0,2004,1344,1334,-7,-0.060508963778747704,6.312500000000014,0.0285546175600353,-0.06609261254331969,-0.01031294179113651,-0.21920206477515036,-0.14104632712373688,-90.22222222222223
92,0,2004,1416,1338,11,-0.08634680192441124,8.375,-0.04079920225702882,0.040916611389403446,-0.0075203057811753515,-0.09289109701399889,0.014381514369773085,106.88888888888889
93,1,2004,1412,1449,1,-0.18747796772899233,-16.837500000000006,-0.007125946050844129,-0.27613367677404554,0.020942702284165615,-0.195068548396091,-0.28851890626064336,-76.16666666666667
94,1,2004,1435,1444,-5,0.13106697904180736,-0.26249999999998863,-0.09013738690225315,-0.4232508808252516,-0.062069129463224515,0.24127860748658603,0.18605030392601396,-27.055555555555557
95,0,2004,1350,1458,5,-0.06588538823020051,-1.7625000000000028,0.019308479952857782,0.040076954465255554,-0.10999999999999999,-0.2660905146954551,-0.15299051510850004,41.22222222222222
96,1,2004,1462,1257,-3,0.06665275871041842,-1.4750000000000085,-0.024657297501830933,-0.012528376717183987,-0.017582708759179333,0.07885355569056984,0.1099415764148739,33.88888888888889
97,0,2004,1390,1104,-7,-0.08518569662537145,7.325000000000031,0.005687050319613252,0.07616652200215673,0.07352906299127224,-0.0007210688450038916,-0.1064410875631343,-39.72222222222222
98,0,2004,1177,1163,5,0.0945615228702224,-1.9750000000000227,-0.044834437575247243,0.01937671155793974,-0.12109773695139536,-0.023461734088970454,0.19682427615548093,93.16666666666667
99,1,2004,1181,1371,-7,0.0497399493162205,2.3374999999999986,0.05402062370280239,-0.028326616885938932,-0.07132455731593662,-0.027918659529188705,-0.12186389455480051,-30.611111111111107
100,0,2004,1211,1305,-8,-0.07467423678332086,13.787500000000023,-0.020904394840545792,0.26210598163315957,-0.05154745125675364,-0.06856635276484291,-0.11792332442550402,-35.05555555555556
101,0,2004,1403,1386,7,-0.026768534210843797,-10.487499999999997,-0.04773556537382531,-0.2398439802006435,0.19867472475176215,0.07296503939729093,0.1631012508510742,17.0
102,0,2004,1268,1393,-1,-0.13801394102684156,6.675000000000011,0.03240596592606246,0.1910242403831147,-0.031089324618736314,-0.37248846510875944,-0.1264431389568823,-19.38888888888889
103,1,2004,1400,1314,-3,-0.05429292929292928,-35.375,0.027880043014505418,0.09999999999999998,0.11812943694371131,0.08697724690702935,-0.12243366691707847,5.111111111111111
104,0,2004,1264,1448,8,-0.09591967838196286,3.5249999999999915,0.03508782642658201,-0.018190484084880665,-0.07142857142857134,-0.14732514647386608,-0.3094021770397293,69.94444444444444
105,0,2004,1130,1210,3,0.005263609280491077,2.1500000000000057,0.05061815123319613,-0.13424753994763935,0.13055555555555554,-0.031014015866290823,0.04037671276331545,46.833333333333336
106,0,2004,1153,1228,-1,0.07135823114083978,-6.150000000000006,0.0011189564694851217,0.17090301003344482,0.03527353771256214,0.07884532428946167,0.15987658996615828,-17.61111111111111
107,0,2004,1334,1242,8,0.10107432703013641,-8.012500000000003,-0.04549060047516468,-0.15580146434168282,-0.08618462529466586,0.11261024375005668,0.10310948906406625,94.0
108,0,2004,1272,1329,5,0.11191987059848196,-4.650000000000006,-0.10710766127048812,0.04694198423201801,0.24240759240759246,0.5125115606703525,0.47876599534914643,12.5
109,0,2004,1458,1338,3,-0.03932349019296355,0.6375000000000028,-0.14939339649560096,0.030994038034308335,-0.01565217391304352,0.1327534752391435,0.18526158094314216,4.277777777777779
110,0,2004,1246,1412,-8,0.06283712476547848,-1.374999999999993,-0.03457938807566785,0.3949783067542213,-0.03480743658368257,0.12661299945035753,0.1630996249008505,-29.27777777777778
111,1,2004,1435,1301,3,0.15719258717979945,8.050000000000004,-0.06418516353559184,-0.0758865140259003,0.027901106848475243,0.3916225221624171,0.3032179391644805,1.9444444444444464
112,0,2004,1280,1462,-5,-0.04784525769901932,-1.5749999999999886,0.04891254444223664,0.15003367168874582,-0.1262909315862352,-0.21996737603861893,-0.27891189749727086,-35.72222222222223
113,1,2004,1104,1393,3,0.0010382924793432835,-2.4375,0.013276848573086059,0.15945538223559771,-0.09146254208754198,-0.19284042802459678,0.04707512099219502,8.166666666666664
114,1,2004,1163,1435,-4,-0.16665512974643787,-0.4124999999999801,0.07114477765918331,0.09539209451521419,0.14201492892121903,-0.13746967727275372,-0.32668669574070563,-8.722222222222223
115,0,2004,1338,1329,1,0.1269389889070739,-3.950000000000003,0.02412319071227459,-0.03759774504455343,0.14296819122906085,0.32337731170763373,0.12373715723546896,-13.277777777777779
116,0,2004,1448,1386,3,0.06343608875239987,6.450000000000003,-0.00465062327040397,-0.04504481384975301,0.19229157938835353,0.1670063077852959,0.25325525394451687,1.333333333333333
117,0,2004,1228,1181,4,-0.04716394716394712,13.162499999999994,-0.013638128009567652,0.026631701631701615,-0.11077827722592232,-0.03928466808105069,-0.17169475125749178,21.666666666666664
118,1,2004,1210,1305,-7,0.01174148606811154,-7.09999999999998,0.00692661095029351,0.12316305469556244,-0.06262626262626264,0.008228720854962068,-0.05697846973299736,-39.111111111111114
119,0,2004,1412,1242,5,-0.07593719328916698,-3.7750000000000057,0.012892385754838726,-0.16059781775242302,-0.018867401937703254,-0.15364844451585857,-0.19520869920524853,21.611111111111114
120,1,2004,1462,1400,4,0.020713066219001708,1.9124999999999943,0.0022787724595392522,-0.11926072482884242,-0.1230450696934966,-0.11689601707218711,0.08357372862446177,33.111111111111114
121,1,2004,1163,1104,-6,-0.09730321422550164,-2.7374999999999687,-0.00598104734016261,-0.05516671129491335,0.18285368933234777,0.14656367550320581,-0.1396563228444656,-34.83333333333333
122,1,2004,1329,1386,1,-0.026835496676925807,2.387500000000003,0.0768374245623932,-0.10880280119541469,0.04402318111995532,-0.22559664285262238,-0.08904542311629715,16.5
123,0,2004,1462,1181,6,0.05536730087323638,4.087499999999977,-0.08879855769274678,0.08514875458063695,-0.059836015021106304,0.09332540050801419,0.26175077884497566,49.05555555555556
124,1,2004,1210,1242,-1,0.08388357256778312,-0.4000000000000057,-0.006077924878809093,-0.045039872408293435,-0.11092121533298,0.011215174259481264,0.015305942219487223,-13.444444444444443
125,0,2004,1181,1163,-1,0.024740401962144942,-6.375000000000014,0.06650205501605358,-0.027544845146225655,-0.021134122979160785,-0.13073065756433322,-0.02650547709586748,-8.777777777777779
126,1,2004,1210,1329,1,0.06577951972128904,-3.7875000000000085,-0.07250911033450941,0.0179308199576958,0.03676046176046183,0.25753960328220016,0.18471843673815547,-15.277777777777779
127,0,2004,1210,1163,1,0.08874604544147263,-3.2625000000000313,0.009822110662446842,0.09136755823986198,-0.1600948509485094,-0.10165508209553398,0.11000952104979944,-4.555555555555555
128,1,2005,1324,1105,0,0.06165259747546037,-1.562499999999993,-0.018834975705516066,-0.12033937377822562,-0.0943910256410257,0.04879009777463106,0.09357544666964834,-85.55555555555557
129,1,2005,1112,1429,-11,0.05261212036301921,7.112499999999997,-0.057726381989558484,0.028650819595572807,-0.022651387863198036,0.11782985237051724,0.33053238251663564,-26.22222222222222
130,0,2005,1335,1130,9,-0.02594021337814789,-9.487500000000026,0.0298451708036373,-0.13057571359458156,-0.11136363636363644,-0.20617553550460876,-0.16249599176116725,66.11111111111111
131,1,2005,1153,1234,-3,-0.19373146775389177,12.612499999999997,0.09738121905172908,0.03898978667325595,0.22799111807732494,-0.08678139100653981,-0.44673387721676705,-16.72222222222222
132,0,2005,1457,1211,11,-0.07729215229215236,-2.724999999999987,0.10877423823203003,0.28001998001998,0.100179587964218,-0.10988367641959385,-0.23177250499273128,98.77777777777777
133,1,2005,1228,1192,-15,-0.12249982721680841,-6.300000000000026,0.02729373258171383,-0.13881631994839538,0.02135395952997221,-0.059562744558712355,-0.2934522053960349,-202.05555555555554
134,0,2005,1184,1246,13,-0.030896358543417324,18.124999999999986,0.007019604682387187,-0.17299719887955184,-0.054661025249260475,-0.08142681922563533,-0.16786054506969683,131.7777777777778
135,0,2005,1400,1305,-1,0.050677946290289655,8.9375,-0.0131442300240254,0.16077481663306153,0.13374888518360545,0.19536755686327956,0.2535202986741921,-34.72222222222222
136,0,2005,1310,1328,11,0.005350197511437116,0.7999999999999972,-0.05745541142890434,-0.229394629473411,-0.03453512801338898,-0.015033912174735375,0.10265750961469078,85.94444444444444
137,1,2005,1334,1338,-1,0.020147054249097907,5.125,0.1090145884943573,-0.08256086433578042,0.018281718281718262,-0.05553309224826086,-0.11974904372751682,29.833333333333332
138,1,2005,1403,1417,-5,-0.09015149367949671,2.887500000000003,-0.09308479509191595,-0.17554371445307332,-0.1455069124423963,-0.12174997912193386,-0.1414579573926198,-51.0
139,0,2005,1261,1412,-5,-0.12522487099738472,-1.6625000000000085,-0.06124235563276062,-0.0865637001955657,-0.18306348617805782,-0.147249307904594,-0.20174997429880948,26.44444444444445
140,1,2005,1428,1431,-5,-0.09720797286305821,-20.4375,0.09297887206049407,-0.1344438590653653,0.032860195360195354,-0.2949633659001668,-0.2125117681919061,-16.222222222222214
141,0,2005,1151,1448,13,-0.0011459129106188293,9.987500000000026,0.07886488499607186,0.21269416857652157,0.06219699524184183,-0.05513286617541113,-0.05129164117391238,137.5
142,1,2005,1449,1285,-15,-0.0006443511198945817,2.5749999999999886,-0.006469770978017181,-0.04719820487483528,-0.06754776754776748,-0.04687549697721827,-0.02453160492830453,-185.16666666666669
143,1,2005,1452,1166,-3,0.07844299259944504,10.987500000000011,-0.02025698376407578,-0.21981961147086032,-0.10502518315018317,0.17745367566071057,-0.001442688074146381,-5.5
144,1,2005,1454,1104,7,0.00713085103663369,8.825000000000003,0.021329890721660333,0.08273640616611705,0.007210839872130281,0.028595942815790254,-0.023426917573855066,35.83333333333333
145,1,2005,1137,1242,11,0.16435185185185192,-4.1999999999999815,0.025818989727274422,-0.2431607744107744,-0.007022696677869145,0.12302256920524268,0.11131258571257541,121.94444444444443
146,0,2005,1416,1163,13,0.08480790043290043,-4.124999999999986,0.01530528444295004,0.15798160173160186,0.0754024200052184,0.15146714019489482,0.07810343026501454,162.5
147,0,2005,1175,1181,15,0.04008838845452817,-16.85000000000001,0.01368479894909519,0.003414525034200089,-0.17522581585081587,-0.13842832323732734,0.10275825944349437,218.27777777777777
148,1,2005,1196,1325,-9,-0.047379454926624764,3.6499999999999915,0.008675079349852843,0.30775681341719063,-0.0711894586894588,-0.06127035735380004,-0.0761953932656243,-79.27777777777777
149,1,2005,1210,1203,-7,0.038143198243674126,-0.42499999999999716,-0.018215684663215326,-0.030071951668990293,-0.083345127455143,-0.0012253128821233528,0.0637703955603306,-24.5
150,0,2005,1278,1235,-1,-0.06534319645732684,18.47500000000001,0.02362478606211557,0.4147041062801933,-0.014934829236099623,-0.06492187132904914,-0.07981651044543603,-22.83333333333333
151,0,2005,1418,1257,9,-0.0217892248351374,-7.012500000000003,-0.03645493254366042,-0.24383269047322803,0.13415834366115037,-0.07777810448996225,0.1350539167709709,80.83333333333333
152,1,2005,1277,1330,-7,-0.03333333333333327,-5.862499999999997,-0.018739037224712568,0.12474358974358979,0.09586834733893557,0.11877201255672798,0.02371483211292702,-59.88888888888889
153,1,2005,1280,1390,1,0.06422102739400848,22.174999999999997,-0.048332806969080544,0.1058075772681954,-0.04878215654077722,0.23150703211053703,0.15043820158315746,-36.0
154,1,2005,1301,1150,3,-0.10607619300457966,-1.6124999999999972,0.08663156724637977,-0.07181035817791642,0.0826300790586505,-0.2598776669231512,-0.20542111364387716,-8.166666666666664
